invoice_id,customer_id,customer_name,invoice_date,due_date,invoice_amount,tax_amount,total_amount,paid_amount,balance_amount,payment_status,payment_date,payment_terms,currency,sales_rep_id,sales_rep_name,reference_number,tax_type
INV0000052,CUST000006,Wipro Tech Limited,2025-04-13,2025-05-13,1375672.45,68783.62,1444456.07,1444456.07,0.00,Paid,2025-04-18,Net 30,INR,REP000005,Anil Gupta,PO-672152,GST5
INV0000053,CUST000006,Wipro Tech Limited,2024-12-28,2025-01-27,1115409.60,200773.73,1316183.33,1316183.33,0.00,Paid,2025-01-09,Net 30,INR,REP000049,Rajesh Joshi,PO-947354,GST18
INV0000054,CUST000006,Wipro Tech Limited,2025-02-08,2025-03-10,662785.57,185579.96,848365.53,848365.53,0.00,Paid,2025-03-11,Net 30,INR,REP000010,Ashok Gupta,PO-799810,GST28
INV0000055,CUST000006,Wipro Tech Limited,2025-03-04,2025-04-03,529082.63,95234.87,624317.50,624317.50,0.00,Paid,2025-03-21,Net 30,INR,REP000017,Meena Gupta,PO-497124,GST18
INV0000061,CUST000007,Mahindra Tech Limited,2025-01-02,2025-02-01,343409.67,17170.48,360580.15,360580.15,0.00,Paid,2025-02-03,Net 30,INR,REP000026,Rahul Mishra,PO-368288,GST5
INV0000062,CUST000007,Mahindra Tech Limited,2025-03-03,2025-04-02,452263.13,54271.58,506534.71,0.00,506534.71,Overdue,,Net 30,INR,REP000031,Priya Mishra,PO-412850,GST12
INV0000063,CUST000007,Mahindra Tech Limited,2024-11-12,2024-12-12,197069.91,35472.58,232542.49,0.00,232542.49,Overdue,,Net 30,INR,REP000022,Amit Mishra,PO-811050,GST18
INV0000064,CUST000007,Mahindra Tech Limited,2025-02-23,2025-03-25,172755.83,8637.79,181393.62,181393.62,0.00,Paid,2025-03-09,Net 30,INR,REP000029,Rajesh Mishra,PO-946187,GST5
INV0000065,CUST000007,Mahindra Tech Limited,2025-03-13,2025-04-12,393000.95,110040.27,503041.22,503041.22,0.00,Paid,2025-04-12,Net 30,INR,REP000045,Anil Joshi,PO-153044,GST28
INV0000066,CUST000007,Mahindra Tech Limited,2025-03-28,2025-04-27,161024.54,19322.94,180347.48,0.00,180347.48,Unpaid,,Net 30,INR,REP000025,Anil Mishra,PO-885308,GST12
INV0000071,CUST000008,Birla Tech Limited,2025-04-16,2025-05-16,1381532.57,165783.91,1547316.48,0.00,1547316.48,Unpaid,,Net 30,INR,REP000023,Vijay Mishra,PO-596637,GST12
INV0000072,CUST000008,Birla Tech Limited,2025-01-16,2025-02-15,332433.57,39892.03,372325.60,0.00,372325.60,Overdue,,Net 30,INR,REP000037,Meena Mishra,PO-271704,GST12
INV0000073,CUST000008,Birla Tech Limited,2024-12-10,2025-01-09,1967582.80,236109.94,2203692.74,2203692.74,0.00,Paid,2025-02-05,Net 30,INR,REP000033,Pooja Mishra,PO-663540,GST12
INV0000074,CUST000008,Birla Tech Limited,2025-02-11,2025-03-13,887895.61,159821.21,1047716.82,1047716.82,0.00,Paid,2025-04-12,Net 30,INR,REP000043,Vijay Joshi,PO-628090,GST18
INV0000081,CUST000009,Adani Tech Limited,2024-12-28,2025-02-26,66237.04,18546.37,84783.41,84783.41,0.00,Paid,2025-01-02,Net 60,INR,REP000024,Sunil Mishra,PO-707494,GST28
INV0000082,CUST000009,Adani Tech Limited,2025-01-26,2025-03-27,18150.22,907.51,19057.73,0.00,19057.73,Overdue,,Net 60,INR,REP000050,Ashok Joshi,PO-852918,GST5
INV0000083,CUST000009,Adani Tech Limited,2024-11-05,2025-01-04,99637.03,4981.85,104618.88,104618.88,0.00,Paid,2025-01-18,Net 60,INR,REP000028,Rakesh Mishra,PO-934067,GST5
INV0000084,CUST000009,Adani Tech Limited,2025-02-21,2025-04-22,88041.44,24651.60,112693.04,41744.27,70948.77,Partial,2025-03-30,Net 60,INR,REP000018,Kavita Gupta,PO-256075,GST28
INV0000085,CUST000009,Adani Tech Limited,2025-01-17,2025-03-18,12419.15,1490.30,13909.45,0.00,13909.45,Overdue,,Net 60,INR,REP000042,Amit Joshi,PO-361582,GST12
INV0000086,CUST000009,Adani Tech Limited,2024-12-30,2025-02-28,59160.16,10648.83,69808.99,69808.99,0.00,Paid,2025-02-14,Net 60,INR,REP000021,Raj Mishra,PO-770219,GST18
INV0000087,CUST000009,Adani Tech Limited,2025-03-10,2025-05-09,79122.47,3956.12,83078.59,83078.59,0.00,Paid,2025-04-17,Net 60,INR,REP000017,Meena Gupta,PO-270759,GST5
INV0000091,CUST000010,JSW Tech Limited,2025-03-03,2025-04-02,367206.16,66097.11,433303.27,433303.27,0.00,Paid,2025-03-16,Net 30,INR,REP000027,Sanjay Mishra,PO-729223,GST18
INV0000092,CUST000010,JSW Tech Limited,2024-11-28,2024-12-28,99245.21,17864.14,117109.35,117109.35,0.00,Paid,2025-03-28,Net 30,INR,REP000030,Ashok Mishra,PO-940242,GST18
INV0000093,CUST000010,JSW Tech Limited,2025-01-07,2025-02-06,203432.46,36617.84,240050.30,240050.30,0.00,Paid,2025-02-13,Net 30,INR,REP000032,Neha Mishra,PO-963340,GST18
INV0000094,CUST000010,JSW Tech Limited,2025-01-06,2025-02-05,142028.49,17043.42,159071.91,159071.91,0.00,Paid,2025-03-15,Net 30,INR,REP000049,Rajesh Joshi,PO-545421,GST12
INV0000095,CUST000010,JSW Tech Limited,2025-04-02,2025-05-02,221502.48,11075.12,232577.60,0.00,232577.60,Unpaid,,Net 30,INR,REP000029,Rajesh Mishra,PO-821206,GST5
INV0000096,CUST000010,JSW Tech Limited,2024-12-07,2025-01-06,153571.02,27642.78,181213.80,181213.80,0.00,Paid,2025-03-22,Net 30,INR,REP000010,Ashok Gupta,PO-197908,GST18
INV0000097,CUST000010,JSW Tech Limited,2025-03-21,2025-04-20,272708.89,49087.60,321796.49,120445.09,201351.40,Partial,2025-04-04,Net 30,INR,REP000050,Ashok Joshi,PO-929153,GST18
INV0000098,CUST000010,JSW Tech Limited,2024-10-29,2024-11-28,164257.59,19710.91,183968.50,183968.50,0.00,Paid,2025-01-22,Net 30,INR,REP000024,Sunil Mishra,PO-929735,GST12
INV0000101,CUST000011,Godrej Tech Limited,2024-11-23,2024-12-23,95497.67,11459.72,106957.39,106957.39,0.00,Paid,2025-01-19,Net 30,INR,REP000039,Shalini Mishra,PO-568276,GST12
INV0000102,CUST000011,Godrej Tech Limited,2025-03-08,2025-04-07,127375.60,6368.78,133744.38,133744.38,0.00,Paid,2025-03-21,Net 30,INR,REP000036,Anita Mishra,PO-650352,GST5
INV0000103,CUST000011,Godrej Tech Limited,2025-03-28,2025-04-27,377305.58,67915.00,445220.58,0.00,445220.58,Unpaid,,Net 30,INR,REP000046,Rahul Joshi,PO-600282,GST18
INV0000104,CUST000011,Godrej Tech Limited,2025-03-09,2025-04-08,109915.33,19784.76,129700.09,129700.09,0.00,Paid,2025-04-07,Net 30,INR,REP000034,Rani Mishra,PO-637332,GST18
INV0000105,CUST000011,Godrej Tech Limited,2025-02-07,2025-03-09,478829.60,86189.33,565018.93,565018.93,0.00,Paid,2025-03-06,Net 30,INR,REP000037,Meena Mishra,PO-511587,GST18
INV0000111,CUST000012,L&T Tech Limited,2025-03-31,2025-04-30,41803.70,5016.44,46820.14,0.00,46820.14,Unpaid,,Net 30,INR,REP000029,Rajesh Mishra,PO-348782,GST12
INV0000112,CUST000012,L&T Tech Limited,2025-03-07,2025-04-06,47998.81,5759.86,53758.67,0.00,53758.67,Overdue,,Net 30,INR,REP000016,Anita Gupta,PO-118073,GST12
INV0000113,CUST000012,L&T Tech Limited,2025-02-07,2025-03-09,91166.43,4558.32,95724.75,95724.75,0.00,Paid,2025-02-17,Net 30,INR,REP000009,Rajesh Gupta,PO-130810,GST5
INV0000114,CUST000012,L&T Tech Limited,2025-01-11,2025-02-10,81925.21,9831.03,91756.24,91756.24,0.00,Paid,2025-03-17,Net 30,INR,REP000002,Amit Gupta,PO-968432,GST12
INV0000115,CUST000012,L&T Tech Limited,2024-12-17,2025-01-16,36374.08,4364.89,40738.97,40738.97,0.00,Paid,2025-01-06,Net 30,INR,REP000018,Kavita Gupta,PO-588654,GST12
INV0000116,CUST000012,L&T Tech Limited,2025-04-16,2025-05-16,56518.17,6782.18,63300.35,63300.35,0.00,Paid,2025-05-03,Net 30,INR,REP000050,Ashok Joshi,PO-686628,GST12
INV0000117,CUST000012,L&T Tech Limited,2024-11-08,2024-12-08,57108.08,6852.97,63961.05,63961.05,0.00,Paid,2024-11-18,Net 30,INR,REP000037,Meena Mishra,PO-785339,GST12
INV0000118,CUST000012,L&T Tech Limited,2024-10-25,2024-11-24,84853.76,15273.68,100127.44,100127.44,0.00,Paid,2025-03-01,Net 30,INR,REP000005,Anil Gupta,PO-272993,GST18
INV0000121,CUST000013,ICICI Tech Limited,2025-03-05,2025-05-04,208531.59,25023.79,233555.38,233555.38,0.00,Paid,2025-04-30,Net 60,INR,REP000023,Vijay Mishra,PO-897712,GST12
INV0000122,CUST000013,ICICI Tech Limited,2024-11-06,2025-01-05,229398.45,41291.72,270690.17,270690.17,0.00,Paid,2024-12-14,Net 60,INR,REP000004,Sunil Gupta,PO-608776,GST18
INV0000123,CUST000013,ICICI Tech Limited,2025-02-23,2025-04-24,285108.58,14255.43,299364.01,0.00,299364.01,Unpaid,,Net 60,INR,REP000018,Kavita Gupta,PO-531609,GST5
INV0000124,CUST000013,ICICI Tech Limited,2025-02-12,2025-04-13,68676.35,12361.74,81038.09,0.00,81038.09,Overdue,,Net 60,INR,REP000012,Neha Gupta,PO-102229,GST18
INV0000125,CUST000013,ICICI Tech Limited,2025-01-06,2025-03-07,231860.54,11593.03,243453.57,243453.57,0.00,Paid,2025-01-25,Net 60,INR,REP000040,Geeta Mishra,PO-728686,GST5
INV0000126,CUST000013,ICICI Tech Limited,2024-11-18,2025-01-17,222809.54,26737.14,249546.68,249546.68,0.00,Paid,2025-03-14,Net 60,INR,REP000047,Sanjay Joshi,PO-645926,GST12
INV0000131,CUST000014,SBI Tech Limited,2024-12-02,2025-01-01,68537.46,12336.74,80874.20,0.00,80874.20,Overdue,,Net 30,INR,REP000027,Sanjay Mishra,PO-221545,GST18
INV0000132,CUST000014,SBI Tech Limited,2025-02-22,2025-03-24,418255.65,50190.68,468446.33,468446.33,0.00,Paid,2025-03-15,Net 30,INR,REP000024,Sunil Mishra,PO-468525,GST12
INV0000133,CUST000014,SBI Tech Limited,2024-11-23,2024-12-23,117387.60,32868.53,150256.13,0.00,150256.13,Overdue,,Net 30,INR,REP000009,Rajesh Gupta,PO-579687,GST28
INV0000134,CUST000014,SBI Tech Limited,2025-01-16,2025-02-15,471867.32,56624.08,528491.40,528491.40,0.00,Paid,2025-03-02,Net 30,INR,REP000038,Kavita Mishra,PO-230932,GST12
INV0000135,CUST000014,SBI Tech Limited,2025-03-05,2025-04-04,482734.29,135165.60,617899.89,617899.89,0.00,Paid,2025-04-02,Net 30,INR,REP000006,Rahul Gupta,PO-356560,GST28
INV0000136,CUST000014,SBI Tech Limited,2024-12-31,2025-01-30,348697.66,41843.72,390541.38,0.00,390541.38,Overdue,,Net 30,INR,REP000038,Kavita Mishra,PO-540158,GST12
INV0000141,CUST000015,TCS Tech Limited,2025-02-03,2025-03-20,32748.37,9169.54,41917.91,41917.91,0.00,Paid,2025-03-17,Net 45,INR,REP000002,Amit Gupta,PO-853407,GST28
INV0000142,CUST000015,TCS Tech Limited,2025-01-06,2025-02-20,88849.51,10661.94,99511.45,0.00,99511.45,Overdue,,Net 45,INR,REP000013,Pooja Gupta,PO-793511,GST12
INV0000143,CUST000015,TCS Tech Limited,2025-02-17,2025-04-03,22115.41,1105.77,23221.18,23221.18,0.00,Paid,2025-03-27,Net 45,INR,REP000047,Sanjay Joshi,PO-956039,GST5
INV0000144,CUST000015,TCS Tech Limited,2024-11-22,2025-01-06,74159.54,13348.72,87508.26,87508.26,0.00,Paid,2024-11-30,Net 45,INR,REP000013,Pooja Gupta,PO-428043,GST18
INV0000151,CUST000016,Bajaj Tech Limited,2025-01-29,2025-03-15,401749.20,20087.46,421836.66,421836.66,0.00,Paid,2025-03-24,Net 45,INR,REP000045,Anil Joshi,PO-737267,GST5
INV0000152,CUST000016,Bajaj Tech Limited,2025-02-16,2025-04-02,373217.68,44786.12,418003.80,418003.80,0.00,Paid,2025-03-05,Net 45,INR,REP000037,Meena Mishra,PO-605428,GST12
INV0000153,CUST000016,Bajaj Tech Limited,2024-11-09,2024-12-24,380312.78,106487.58,486800.36,486800.36,0.00,Paid,2025-04-11,Net 45,INR,REP000044,Sunil Joshi,PO-756676,GST28
INV0000154,CUST000016,Bajaj Tech Limited,2024-11-22,2025-01-06,144566.63,17348.00,161914.63,161914.63,0.00,Paid,2025-01-26,Net 45,INR,REP000017,Meena Gupta,PO-994276,GST12
INV0000161,CUST000017,HCL Tech Limited,2025-01-20,2025-02-19,33578.63,9402.02,42980.65,42980.65,0.00,Paid,2025-04-15,Net 30,INR,REP000017,Meena Gupta,PO-956062,GST28
INV0000162,CUST000017,HCL Tech Limited,2025-03-25,2025-04-24,32775.77,3933.09,36708.86,0.00,36708.86,Unpaid,,Net 30,INR,REP000045,Anil Joshi,PO-434464,GST12
INV0000163,CUST000017,HCL Tech Limited,2025-04-17,2025-05-17,87708.23,15787.48,103495.71,47123.93,56371.78,Partial,2025-04-29,Net 30,INR,REP000007,Sanjay Gupta,PO-607695,GST18
INV0000171,CUST000018,Hindustan Tech Limited,2024-10-28,2024-11-27,495636.20,89214.52,584850.72,584850.72,0.00,Paid,2024-11-03,Net 30,INR,REP000050,Ashok Joshi,PO-815023,GST18
INV0000172,CUST000018,Hindustan Tech Limited,2024-12-24,2025-01-23,264006.28,13200.31,277206.59,277206.59,0.00,Paid,2025-01-09,Net 30,INR,REP000045,Anil Joshi,PO-989860,GST5
INV0000173,CUST000018,Hindustan Tech Limited,2025-04-01,2025-05-01,338608.04,40632.96,379241.00,0.00,379241.00,Unpaid,,Net 30,INR,REP000020,Geeta Gupta,PO-144895,GST12
INV0000174,CUST000018,Hindustan Tech Limited,2024-12-25,2025-01-24,123941.52,14872.98,138814.50,138814.50,0.00,Paid,2025-03-15,Net 30,INR,REP000021,Raj Mishra,PO-627134,GST12
INV0000181,CUST000019,Indian Tech Limited,2025-03-26,2025-04-10,88593.02,4429.65,93022.67,0.00,93022.67,Overdue,,Net 15,INR,REP000009,Rajesh Gupta,PO-479259,GST5
INV0000182,CUST000019,Indian Tech Limited,2024-12-23,2025-01-07,18322.49,5130.30,23452.79,0.00,23452.79,Overdue,,Net 15,INR,REP000035,Sunita Mishra,PO-651498,GST28
INV0000183,CUST000019,Indian Tech Limited,2025-02-09,2025-02-24,75490.50,13588.29,89078.79,89078.79,0.00,Paid,2025-03-24,Net 15,INR,REP000047,Sanjay Joshi,PO-645550,GST18
INV0000184,CUST000019,Indian Tech Limited,2024-11-12,2024-11-27,13041.75,3651.69,16693.44,16693.44,0.00,Paid,2024-12-03,Net 15,INR,REP000024,Sunil Mishra,PO-128651,GST28
INV0000191,CUST000020,Tech Tech Limited,2024-12-06,2024-12-21,215578.25,38804.08,254382.33,254382.33,0.00,Paid,2025-02-19,Net 15,INR,REP000017,Meena Gupta,PO-177663,GST18
INV0000192,CUST000020,Tech Tech Limited,2024-11-30,2024-12-15,1233512.13,222032.18,1455544.31,1455544.31,0.00,Paid,2025-02-11,Net 15,INR,REP000040,Geeta Mishra,PO-679975,GST18
INV0000193,CUST000020,Tech Tech Limited,2024-12-04,2024-12-19,902806.88,108336.83,1011143.71,1011143.71,0.00,Paid,2025-04-05,Net 15,INR,REP000042,Amit Joshi,PO-103278,GST12
INV0000194,CUST000020,Tech Tech Limited,2025-03-21,2025-04-05,739641.92,133135.55,872777.47,872777.47,0.00,Paid,2025-03-27,Net 15,INR,REP000040,Geeta Mishra,PO-706535,GST18
INV0000195,CUST000020,Tech Tech Limited,2025-01-24,2025-02-08,800809.99,96097.20,896907.19,896907.19,0.00,Paid,2025-02-05,Net 15,INR,REP000034,Rani Mishra,PO-799281,GST12
INV0000201,CUST000021,Tata Info Limited,2025-03-05,2025-04-04,1374542.15,247417.59,1621959.74,0.00,1621959.74,Overdue,,Net 30,INR,REP000036,Anita Mishra,PO-459166,GST18
INV0000202,CUST000021,Tata Info Limited,2025-03-08,2025-04-07,1650272.37,297049.03,1947321.40,1947321.40,0.00,Paid,2025-04-06,Net 30,INR,REP000045,Anil Joshi,PO-803295,GST18
INV0000203,CUST000021,Tata Info Limited,2025-04-13,2025-05-13,859455.95,240647.67,1100103.62,0.00,1100103.62,Unpaid,,Net 30,INR,REP000009,Rajesh Gupta,PO-796097,GST28
INV0000204,CUST000021,Tata Info Limited,2025-04-03,2025-05-03,286653.13,14332.66,300985.79,203770.29,97215.49,Partial,2025-04-19,Net 30,INR,REP000038,Kavita Mishra,PO-403176,GST5
INV0000205,CUST000021,Tata Info Limited,2024-11-27,2024-12-27,1605598.28,289007.69,1894605.97,1894605.97,0.00,Paid,2025-03-06,Net 30,INR,REP000040,Geeta Mishra,PO-944758,GST18
INV0000206,CUST000021,Tata Info Limited,2025-01-10,2025-02-09,1905825.67,343048.62,2248874.29,2248874.29,0.00,Paid,2025-03-26,Net 30,INR,REP000033,Pooja Mishra,PO-238429,GST18
INV0000207,CUST000021,Tata Info Limited,2025-04-04,2025-05-04,1943086.43,97154.32,2040240.75,0.00,2040240.75,Unpaid,,Net 30,INR,REP000021,Raj Mishra,PO-389481,GST5
INV0000208,CUST000021,Tata Info Limited,2025-03-10,2025-04-09,1993705.73,358867.03,2352572.76,2352572.76,0.00,Paid,2025-04-03,Net 30,INR,REP000017,Meena Gupta,PO-648784,GST18
INV0000211,CUST000022,Reliance Info Limited,2024-12-19,2024-12-26,14917.09,2685.08,17602.17,17602.17,0.00,Paid,2025-03-27,Net 7,INR,REP000035,Sunita Mishra,PO-403616,GST18
INV0000212,CUST000022,Reliance Info Limited,2025-03-03,2025-03-10,76613.32,13790.40,90403.72,0.00,90403.72,Overdue,,Net 7,INR,REP000023,Vijay Mishra,PO-683137,GST18
INV0000213,CUST000022,Reliance Info Limited,2025-02-28,2025-03-07,69410.59,8329.27,77739.86,77739.86,0.00,Paid,2025-04-13,Net 7,INR,REP000045,Anil Joshi,PO-671608,GST12
INV0000214,CUST000022,Reliance Info Limited,2024-11-10,2024-11-17,96547.60,17378.57,113926.17,113926.17,0.00,Paid,2024-11-24,Net 7,INR,REP000045,Anil Joshi,PO-376305,GST18
INV0000215,CUST000022,Reliance Info Limited,2025-03-26,2025-04-02,34713.47,4165.62,38879.09,0.00,38879.09,Overdue,,Net 7,INR,REP000019,Shalini Gupta,PO-606832,GST12
INV0000216,CUST000022,Reliance Info Limited,2024-11-27,2024-12-04,41442.97,2072.15,43515.12,43515.12,0.00,Paid,2025-02-15,Net 7,INR,REP000048,Rakesh Joshi,PO-264212,GST5
INV0000217,CUST000022,Reliance Info Limited,2024-11-07,2024-11-14,44706.80,5364.82,50071.62,0.00,50071.62,Overdue,,Net 7,INR,REP000016,Anita Gupta,PO-158594,GST12
INV0000218,CUST000022,Reliance Info Limited,2024-12-06,2024-12-13,39981.47,1999.07,41980.54,41980.54,0.00,Paid,2025-01-04,Net 7,INR,REP000041,Raj Joshi,PO-185490,GST5
INV0000221,CUST000023,Infosys Info Limited,2024-11-06,2025-01-05,46169.72,8310.55,54480.27,54480.27,0.00,Paid,2025-04-01,Net 60,INR,REP000024,Sunil Mishra,PO-174281,GST18
INV0000222,CUST000023,Infosys Info Limited,2024-12-05,2025-02-03,28090.04,7865.21,35955.25,0.00,35955.25,Overdue,,Net 60,INR,REP000031,Priya Mishra,PO-976341,GST28
INV0000223,CUST000023,Infosys Info Limited,2025-01-13,2025-03-14,88494.06,10619.29,99113.35,99113.35,0.00,Paid,2025-02-21,Net 60,INR,REP000035,Sunita Mishra,PO-881253,GST12
INV0000224,CUST000023,Infosys Info Limited,2025-04-04,2025-06-03,61410.89,11053.96,72464.85,0.00,72464.85,Unpaid,,Net 60,INR,REP000032,Neha Mishra,PO-243096,GST18
INV0000225,CUST000023,Infosys Info Limited,2025-01-22,2025-03-23,31473.90,3776.87,35250.77,0.00,35250.77,Overdue,,Net 60,INR,REP000014,Rani Gupta,PO-447658,GST12
INV0000226,CUST000023,Infosys Info Limited,2025-02-07,2025-04-08,32672.48,1633.62,34306.10,34306.10,0.00,Paid,2025-02-21,Net 60,INR,REP000013,Pooja Gupta,PO-378153,GST5
INV0000227,CUST000023,Infosys Info Limited,2025-04-02,2025-06-01,51616.40,9290.95,60907.35,0.00,60907.35,Unpaid,,Net 60,INR,REP000020,Geeta Gupta,PO-242126,GST18
INV0000231,CUST000024,Bharti Info Limited,2024-12-27,2025-01-11,52735.41,6328.25,59063.66,59063.66,0.00,Paid,2025-03-12,Net 15,INR,REP000011,Priya Gupta,PO-833532,GST12
INV0000232,CUST000024,Bharti Info Limited,2025-01-18,2025-02-02,314511.35,88063.18,402574.53,402574.53,0.00,Paid,2025-02-05,Net 15,INR,REP000040,Geeta Mishra,PO-275254,GST28
INV0000233,CUST000024,Bharti Info Limited,2024-11-27,2024-12-12,247274.52,44509.41,291783.93,291783.93,0.00,Paid,2025-02-21,Net 15,INR,REP000011,Priya Gupta,PO-352111,GST18
INV0000241,CUST000025,HDFC Info Limited,2025-02-16,2025-03-18,101296.53,12155.58,113452.11,0.00,113452.11,Overdue,,Net 30,INR,REP000039,Shalini Mishra,PO-386397,GST12
INV0000242,CUST000025,HDFC Info Limited,2024-11-24,2024-12-24,145310.11,7265.51,152575.62,152575.62,0.00,Paid,2025-04-05,Net 30,INR,REP000036,Anita Mishra,PO-979637,GST5
INV0000243,CUST000025,HDFC Info Limited,2025-03-19,2025-04-18,491087.56,88395.76,579483.32,0.00,579483.32,Unpaid,,Net 30,INR,REP000039,Shalini Mishra,PO-203896,GST18
INV0000244,CUST000025,HDFC Info Limited,2024-12-07,2025-01-06,166848.49,20021.82,186870.31,0.00,186870.31,Overdue,,Net 30,INR,REP000010,Ashok Gupta,PO-179887,GST12
INV0000245,CUST000025,HDFC Info Limited,2024-12-06,2025-01-05,395085.89,110624.05,505709.94,0.00,505709.94,Overdue,,Net 30,INR,REP000011,Priya Gupta,PO-626854,GST28
